molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"screen_liperp.csv:486",0,0,0,0,0,4,1,-2,310.284,4.277,567.415,90.894,179.086,250.451,46.984,953.067,1.000,6.500,0.0191974,0.0114555,0.8254290,31.811,9.923,15.986,11.007,1.789,-4.863,-4.795,-5.551,198.438,-1.315,155.792,-3.554,9.200,1.310,2,-0.212,3,78.542,46.984,0.000,100.568,5,0,14,0,14,0,23,0,0.001
"screen_liperp.csv:1803",0,0,0,0,0,2,0,-1,299.713,7.443,518.171,9.576,175.451,261.442,71.703,880.850,2.000,5.000,0.0628979,0.0136462,0.8576163,30.310,10.407,16.982,11.376,2.023,-4.053,-4.185,-5.083,214.833,-0.971,231.856,-3.640,9.031,1.386,2,-0.025,3,80.534,0.000,0.000,94.848,4,0,15,0,15,0,21,0,0.007
"screen_liperp.csv:160",1,0,0,0,0,3,0,0,301.347,7.729,551.677,74.162,106.214,371.301,0.000,956.584,2.000,2.500,0.0624559,0.0064087,0.8510644,33.748,10.908,16.272,9.025,3.703,-4.711,-5.387,-5.713,974.250,-0.595,480.955,-1.881,7.415,1.313,3,0.507,3,100.000,0.000,0.000,56.363,4,0,20,0,20,0,23,0,0.077
"screen_liperp.csv:1846",0,0,0,0,0,3,0,-2,290.321,9.996,560.293,84.030,169.751,306.512,0.000,951.850,2.000,5.500,0.1049786,0.0138823,0.8352100,32.940,10.799,18.348,11.992,1.917,-3.816,-3.892,-5.660,243.305,-1.240,107.362,-3.280,9.126,1.451,1,0.015,3,80.878,0.000,0.000,91.804,4,0,16,0,16,0,22,0,0.014
"screen_liperp.csv:1760",0,0,0,0,1,4,0,-2,286.332,10.455,522.227,84.393,163.362,274.473,0.000,920.243,2.000,4.000,0.1187792,0.0108322,0.8761404,30.727,10.383,16.957,12.279,1.797,-3.602,-4.569,-3.471,156.766,-1.096,124.837,-3.179,8.707,1.185,2,-0.172,3,76.756,0.000,31.594,76.827,3,0,14,0,14,0,22,0,0.047
"screen_liperp.csv:199",0,0,0,0,0,4,0,-2,286.332,6.646,560.990,78.796,160.026,322.168,0.000,956.392,1.000,3.500,0.0461878,0.0062390,0.8368237,32.629,10.664,14.850,8.379,3.077,-5.586,-5.583,-5.709,300.866,-1.201,135.062,-2.950,8.460,1.234,1,0.374,3,89.318,0.000,0.000,76.445,3,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:159",1,0,0,0,0,3,0,0,301.347,7.737,554.944,73.958,106.233,374.753,0.000,958.304,2.000,2.500,0.0624701,0.0063710,0.8470671,33.850,10.935,16.301,9.056,3.716,-4.770,-5.387,-5.794,973.848,-0.604,480.740,-1.869,7.404,1.225,3,0.510,3,100.000,0.000,0.000,55.997,4,0,20,0,20,0,23,0,0.069
"screen_liperp.csv:198",0,0,0,0,0,4,0,-2,286.332,5.986,560.463,79.617,166.325,314.521,0.000,956.794,1.500,4.500,0.0374485,0.0098336,0.8378458,32.572,10.775,15.999,10.086,2.549,-5.211,-5.189,-5.656,262.206,-1.257,116.405,-3.093,8.435,1.143,1,0.171,3,85.161,0.000,0.000,77.757,3,0,16,0,16,0,22,0,0.001
"screen_liperp.csv:1844",0,0,0,0,0,3,0,-2,290.321,5.951,540.422,66.315,166.666,307.442,0.000,937.204,2.000,5.500,0.0377819,0.0143928,0.8570139,32.363,10.717,17.278,11.930,1.871,-3.513,-3.892,-5.312,260.260,-1.130,115.471,-3.220,9.020,1.459,1,-0.005,3,81.130,0.000,0.000,88.570,4,0,16,0,16,0,22,0,0.033
"screen_liperp.csv:3016",0,0,0,0,0,1,0,-1,299.713,3.328,526.509,0.000,165.544,289.456,71.509,889.503,2.000,5.000,0.0124550,0.0134301,0.8495546,31.566,10.583,16.736,11.740,2.163,-4.171,-4.244,-5.347,266.717,-0.850,292.216,-3.455,9.448,1.205,1,0.033,3,83.033,0.000,0.000,87.720,4,0,16,0,16,0,21,0,0.006
