smiles,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings,error
[C@@H]12C(=NCC=N2)NC(=C)S1,5.488591536,0.603,0.55307252,10,153.0360682,1,4,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
c1(cccc(c1S(O)(O)O)F)SCN1[C@]2(S1(O)(O)[C@@H]2N1C=C(CF)C(=CN=C1)NC(=O)CCCOC)C,5.376499086,4.3444,0.086333254,37,584.1244687,7,11,3,FALSE,2,0.5,0,0,0,0,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
O[C@@]1(n2c3c(c4cc(cn4n3)C(=O)N3C(=O)N([C@H](C)C3)C)c[nH]2)[C@@H](C1)O,4.786711471,-0.0771,0.592115099,26,358.1389531,3,7,0,TRUE,1,0.2,0,0,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,5,
c1ccccc1NC(=O)C(=S)NC(C)C,1.954915108,1.9505,0.751458797,15,222.0826841,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
Fc1cc(ccc1C(=O)O)F,1.593694766,1.663,0.674349764,11,158.0179358,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
[C@H](CO)(CCN=C(C)C)C,3.514217408,1.4857,0.594007124,10,143.1310142,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c12cc3c(cc1cc(N[C@@]1(CC[C@H]4CC=CN[C@H]4C1)C)cn2)cccc3CO,4.246198677,4.7266,0.581256432,28,373.2154125,3,4,0,TRUE,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,
c1(cnc(s1)C)c1nnc(C)s1,2.776713507,2.27844,0.70364526,12,197.0081392,0,5,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
C(N)[C@@H](c1ccccc1N)O,2.573288023,0.2609,0.532159624,11,152.094963,3,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
N1=CCCOCCC1=O,3.55766706,0.3942,0.471941846,9,127.0633285,0,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
n1[nH]c(CCC)c2CN=CC=Nc12,3.94235392,1.6489,0.731409134,13,176.1061964,1,3,0,TRUE,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,2,
c1(cc2=C[C@H](N=c2s1)CN)c1ccc(nc1)NC1=NCC[C@@H](OCNC[C@@H](O)C)C1,4.899704578,0.4684,0.358688084,30,428.1994451,4,9,0,TRUE,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,0,0,0,0,4,
c12CC(=Nc2sc(NC(=O)N=Cc2c(cccc2)Cl)c1)C,3.361792851,4.701,0.801773236,21,317.0389607,1,3,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
N(=NCCC1=C[C@@]23[C@](C2=NC1)(N)[C@H]3CSC1=C(O)[C@@H]([C@H](CO)NO)OC=C1)[C@@H]1[C@@H](C)O[C@H]2C[C@@H]1CO2,7.779980125,1.4419,0.163192232,36,519.2151548,5,12,2,FALSE,2,0.333333333,0,0,1,0.166666667,3,0.5,0,0,0,0,0,0,0,0,0,0,6,
C12=c3c(=CC1=c1c(=N2)cc(OCN)c(F)c1)cc([C@@]1([C@@H]2[C@H]1C2)C[S@](=O)O)cc3,5.083227161,-0.3837,0.53296393,28,396.0943916,2,4,0,TRUE,2,0.333333333,0,0,2,0.333333333,2,0.333333333,0,0,0,0,0,0,0,0,0,0,6,
C([C@H]1CN(C=C1)[C@@H]1Cc2cnc(NC3=NCC=C3)cc2S1)O,4.907724384,1.8739,0.891813313,22,314.1201322,2,6,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
C(C)CNCCCC(=O)O,1.789838597,0.8508,0.544654682,10,145.1102787,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c12c(CCCC2)cnc(c1)c1cccs1,2.256585426,3.6889,0.706685965,15,215.0768704,0,2,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
CC=NCC,3.824302939,1.097,0.410312557,5,71.07349929,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c1(N)cc(ccc1O)c1cnc2-c1sn(c2)c1ccc(N2CCC(O)CC2)cc1,3.049834702,3.9545,0.354135134,29,406.1463469,3,7,0,TRUE,0,0,0,0,2,0.4,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
c1(cc(C)cnc1)NC#N,2.795627059,1.283,0.463433849,10,133.0639972,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
O[C@H](c1ccc([C@@H](O)c2cc(C#N)nc(C#C)c2)cc1)C(=O)O,3.64602195,1.13428,0.729546117,23,308.0797069,3,5,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1cc(C(=O)C)ccc1C(=O)NC=C=O,2.496890717,0.9643,0.587576412,15,203.0582431,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
n1cc(C=NC(=O)c2ccccn2)ncc1,2.749384155,1.1309,0.69960166,16,212.0698109,0,4,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1c(CN[C@@H](N=C)CN(c2ncccc2)OC)cc(Cl)nc1,3.746778076,2.3143,0.459426769,22,319.1199879,1,6,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,
c1(ccccc1)C(=O)Nc1oc(CF)c(c1O)[C@@H](O)CCNc1ccc(F)cc1,3.142825216,4.3817,0.448563445,29,402.1391136,4,5,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
[C@@H]12N=CN=C2C=CC=C1,4.394305437,0.9639,0.452393523,9,118.0530982,0,2,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
N1=C2C(=CN(C1)CC)C=C1N3[C@H]([C@](C)(O)CCC3)N=C1N2,4.993143819,0.6339,0.742521598,21,287.1746103,2,6,0,TRUE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4,
OC(=O)[C@H]1CN=C(OCCCC)C=C1,3.670600225,1.4722,0.694143994,14,197.1051933,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
C(c1cc2cc(C(=O)N=Cc3c[nH]nn3)sc2nc1)C[C@H](C=N)NC(=O)[C@@H]1CC(=C(C1)C(=O)O)O,4.780553283,2.04737,0.278073811,35,495.1324878,5,9,0,TRUE,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,0,0,4,
C1(=NC(=NC1)c1ccccc1)C1=NC(=CC1)C(=O)CCN,3.337730127,1.5343,0.887243015,21,280.1324111,1,5,0,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
C1C[C@@H]2[C@H](S[C@@H](CNO)C2)CC1,4.457294956,2.0295,0.64876659,12,187.1030852,2,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
n1n2ncc(C(=O)Nc3sc(c4sc(N)cc4)cn3)c2sc1,3.352770713,2.8103,0.593078967,22,347.9921719,2,9,0,TRUE,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,
C(CC1=CC2=NC=N[C@H]2C=C1)O,4.422859577,0.7165,0.638383059,12,162.0793129,1,3,0,TRUE,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,2,
C(=O)(C1=CCC=C(O)C=N1)C1=CCCCCC1,3.603235185,3.2463,0.792659523,17,231.1259288,1,3,0,TRUE,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,
[C@@H]1([C@@H](C)[N@@]2[C@H](c3c(N)nc(Cc4nn(CC(F)F)c(C)n4)cc3CC2)CC1)[C@@H]1CO1,4.69517261,2.51612,0.751366116,30,418.229266,1,7,0,TRUE,1,0.2,0,0,1,0.2,3,0.6,0,0,0,0,0,0,0,0,0,0,5,
c1c(N2O[C@H]2NC(=O)[C@@H]2NC[C@H](N)C2)ccc(c1)[C@H]1[C@]2([C@@H]1CCC2)C,4.71637391,1.4308,0.721274579,25,342.2055761,3,5,0,TRUE,2,0.4,0,0,2,0.4,1,0.2,0,0,0,0,0,0,0,0,0,0,5,
n1nc(SC)[nH]c1[C@H]1SC(=O)CC1=O,4.39966058,0.8003,0.596886325,14,228.9979685,1,6,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
C(CCCO)ON=C1CC=C(CC1=C=O)F,3.87632386,1.5367,0.440000818,16,227.0957715,1,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
