smiles,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings
O=CC=O,3.18099997,-0.6158,0.297340078,4,58.0054793,0,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(N)=O,1.834707662,-0.5084,0.401030923,4,59.03711378,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CCO,3.01999997,-0.8224,0.401210923,4,60.02112937,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNC=O,3.194261508,-0.6378,0.399916757,4,59.03711378,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(N)=O,1.931907662,-0.9762,0.370507351,4,60.03236275,2,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CO,1.987561249,-0.9367,0.423614075,5,76.01604399,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)NO,2.209351459,-0.4883,0.301333009,5,75.0320284,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCO,2.142964477,-0.3749,0.48573367,5,76.0524295,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)N=O,2.760982228,0.2993,0.386936525,5,73.01637834,0,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNC(C)=O,1.913396214,-0.2477,0.420717147,5,73.05276384,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)N(C)O,2.497857176,-0.1461,0.3310559,6,89.04767846,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C(=O)O,1.686547116,-0.8444,0.379949138,6,89.99530854,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)CO,2.237001318,-0.8483,0.426523565,6,90.03169405,1,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1COCCO1,2.231084394,0.0332,0.41574925,6,88.0524295,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C=CO,3.101416702,0.1427,0.353852786,6,88.01604399,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(O)C(N)=O,2.660070193,-0.6139,0.307433313,6,90.04292743,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)C(=O)O,2.054780252,-1.4437,0.356333452,6,89.01129296,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNC(C)=O,1.928647471,0.1424,0.484038683,6,87.06841391,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(N)C(=O)O,2.646607471,-1.6855,0.335150223,6,90.04292743,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNCC(=O)O,2.266945933,-0.7096,0.469563476,6,89.04767846,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCC(=O)O,1.970084394,-0.2826,0.506764397,6,90.03169405,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)N(C)C,1.982013389,0.0945,0.409906883,6,87.06841391,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)C(=O)O,2.325673856,-0.5482,0.453935951,6,90.03169405,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C(=O)O,2.036982619,0.226,0.461037712,6,89.04767846,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)CC(=O)O,2.628800866,-0.1581,0.511507598,7,104.0473441,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(CO)C(=O)O,2.629884124,-1.6094,0.394240349,7,105.0425931,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)C(=O)O,2.218644401,-0.756,0.323955046,7,104.0109586,1,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CC(=O)O,2.153420872,-0.3674,0.518172409,7,103.0633285,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1cccc[nH]1,2.263525894,0.3749,0.495942849,7,95.03711378,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(C)(O)C(=O)O,2.088771279,-0.1581,0.485716209,7,104.0473441,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1CC=CC=N1,3.611622048,0.5437,0.431532991,7,95.03711378,0,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(N)NC(N)=O,3.215389101,-1.0406,0.370352052,7,103.0745619,3,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(CO)C(=O)O,2.79963797,-0.3006,0.505294929,7,104.0473441,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CC(=O)O,2.05209146,-0.4543,0.464877094,7,104.0109586,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(O)C(=O)O,3.285817155,-0.9642,0.444563649,7,106.0266087,2,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1C=CCC=N1,3.864085894,0.5437,0.431532991,7,95.03711378,0,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(=N)NC(N)=O,3.268427206,-0.34813,0.282810668,7,101.0589118,3,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1COCCO1,2.81094051,-0.4402,0.388816396,7,102.0316941,0,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1COCCN1,2.881992048,-0.8672,0.430590354,7,101.0476785,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1CCCCN1,2.235092817,0.2865,0.464246084,7,99.06841391,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
NCC(N)C(=O)O,2.983514893,-1.643,0.391559124,7,104.0585775,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CC(O)O,2.704522229,-1.2282,0.385091182,7,106.0266087,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C(=O)C(=O)O,2.299129383,-0.8408,0.420679883,8,117.0425931,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=CCOCC(=O)O,2.685842396,-0.7135,0.390794415,8,118.0266087,1,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C1CCCC1,1.630166372,1.2612,0.5568403,8,114.0680796,1,1,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NC(=O)NCC(=O)O,2.056632946,-1.2607,0.422139179,8,118.0378421,3,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)CC(=O)O,2.183411974,1.5072,0.563406542,8,116.0837296,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)NCC(=O)O,1.8299091,-0.7929,0.49759174,8,117.0425931,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1ccccn1O,2.520587351,0.0856,0.4817584,8,111.0320284,1,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(C)(O)CC(=O)O,2.45439578,0.232,0.545390178,8,118.0629942,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C=CO)C(=O)O,3.819165247,0.7788,0.523908531,8,116.0473441,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCOCC(O)O,2.757651187,-1.694,0.307057417,8,122.0579088,3,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CCC(=O)O,1.608031407,-0.0642,0.543771403,8,118.0266087,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCNCC1=O,2.695659379,-0.952,0.440031531,8,114.0793129,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COC=CNC(C)=O,3.428299539,0.2401,0.523366396,8,115.0633285,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)C=CC(N)=O,2.7803991,0.6839,0.525704693,8,113.084064,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccccc1,1,1.6952,0.531625315,8,108.0575149,0,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1COC(O)CO1,4.009575038,-1.1218,0.409118459,8,118.0266087,1,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(O)C(O)O,3.283020308,-2.2574,0.309822537,8,122.0215233,4,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cn1ccccc1=O,1.884073365,0.3853,0.471913844,8,109.0527638,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
COc1cccnc1,1.596466859,1.0902,0.538183157,8,109.0527638,0,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(=CC(=O)O)CO,2.787349869,0.0096,0.49945854,8,116.0473441,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(C(=O)O)C(O)O,3.300000065,-2.291,0.307705833,8,121.0375077,4,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C(O)C(=O)O,2.654560152,-1.4835,0.385959312,8,120.0058732,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C=O)=CC(=O)O,2.827226792,0.2162,0.412263214,8,114.0316941,1,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C1CC=CC1,2.584600638,1.0372,0.514350043,8,112.0524295,1,1,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
O=C(O)c1ccccc1,1.054917238,1.3848,0.610603539,9,122.0367794,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1ccnn(C)c1=O,2.319233776,0.08872,0.49091704,9,124.0636629,0,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CC(=O)NC(C)C(=O)O,2.260905903,-0.4044,0.535275185,9,131.0582431,2,2,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)CC(O)C(=O)O,2.60262898,-1.0934,0.455339883,9,134.0215233,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C(O)OCCO,3.266276229,-1.6017,0.404935645,9,136.0371734,3,4,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC(=O)c1ccccc1,1.159217546,0.7855,0.585936717,9,121.0527638,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cn1nccc(N)c1=O,2.524456853,-0.6375,0.501467803,9,125.0589118,1,4,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C1C=CC(C(=O)O)O1,3.690973386,-0.4474,0.485690402,9,128.0109586,1,3,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COc1ccccc1O,1.318797238,1.4008,0.612772549,9,124.0524295,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
CNC(=O)C(O)C(=O)O,3.163712896,-1.8221,0.386862884,9,133.0375077,3,3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cnc(N)[nH]c1=O,2.532741469,-0.33948,0.497919474,9,125.0589118,2,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
