smiles,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings
OCC1OC(C(O)C(O)C(O)COc2ccc(Oc3ccc(-c4ccc(Cl)cc4)cc3)cc2)C(C(O)C(O)C(O)C(O)C2CCC(O)CO2)O1,5.222534478,0.3467,0.103184185,50,722.2341337,9,14,3,FALSE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5
O=Nc1ccc(-c2ccc(Oc3ccccc3)cc2)cc1,1.793061735,5.5438,0.585852894,21,275.0946287,0,3,1,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
Fc1c(F)cc2CCCCc2c1,1.942409435,2.8436,0.558414824,12,168.0750568,0,0,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(O)c1cc(Cl)ccc1,1.331977059,2.0382,0.675780364,10,155.9978071,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(O)C(CO[PH](O)(O)OCC1OC(=O)C(COc2cc(-c3ccc(F)c(O)c3)ccc2)C1O)OCC(O)C(O)C(O)C1OCCC(O)C1O,5.770275049,-2.0295,0.06183597,50,738.1936293,10,17,3,FALSE,0,0,0,0,1,0.25,3,0.75,0,0,0,0,0,0,0,0,0,0,4
COc1ccc(-c2ccc(Oc3cc(OC(COP(=O)(O)O)C(=O)O)c(OCC(O)C(O)C(O)C(=O)OCC(O)C(O)CO)cc3)cc2)cc1,4.475017219,-0.1854,0.053827678,50,728.171751,9,15,3,FALSE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
CCC=CC=CCc1ccccc1,2.291108981,3.7515,0.606638748,13,172.1252005,0,0,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
OCC=C(O)C(O)NCc1cc(Oc2ccccc2)ccc1,2.88107478,2.3211,0.465949888,22,301.1314081,4,5,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(CCCCCCCO)c1ccccc1,1.599445131,3.2022,0.539304746,16,220.1463299,1,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Cc1cc(C(=O)O)c(C)cc1COCc1c(F)ccc(OC(=O)CC(OP(=O)(O)O)C(=O)O)c1,3.348203014,2.71554,0.202603677,34,500.0883764,4,7,1,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(O)c1ccc(C(F)(F)F)cc1,1.524186809,2.4036,0.737705964,13,190.0241641,1,1,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
NC(=O)c1cc(OC2CCCC(c3ccc(O)c(O)c3)C2)cc(F)c1,3.123303303,3.441,0.740163082,25,345.1376363,3,4,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
O=C(O)COCC(OC(=O)c1cccc(C(=O)O)c1)C(O)C(=O)O,3.131705984,-0.5431,0.42747317,24,342.0586966,4,7,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
O=C(c1ccccc1)c1c(Cl)cc(OCC(O[PH](O)(O)O)C(=O)O)cc1,3.423984131,1.8064,0.387806303,26,402.0271318,4,7,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
c1ccc(-c2ccccc2)cc1,1,3.3536,0.590501888,12,154.0782503,0,0,0,TRUE,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
O=C(O)CC(C(=O)Oc1cccc(C2C=CC(=O)OC2)c1)c1ccccc1,3.348777369,3.0471,0.624237126,27,366.1103383,1,5,0,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
CC(c1ccccc1)c1ccc(OCCCCCC2=CC=C(CO)OC2)cc1,3.11597328,5.6104,0.546176623,28,378.2194948,1,3,1,TRUE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
OCC=CCC(O)C(O)C(O)COc1c(OCC(O)C(O)Cl)ccc(Oc2ccc(Cc3ccc(O)cc3)cc2)c1,4.205803002,2.4723,0.097134413,41,590.191875,7,10,2,FALSE,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3
NC(=O)c1c(CC=CCCCC(=O)O)cc(F)cc1,2.316563736,2.2782,0.585921188,19,265.1114216,2,2,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
