 ,sa_score,logp,qed,heavy_atom_count,molecular_weight,h_bond_donors,h_bond_acceptors,lipinski_violations,pass_lipinski,ring_3_count,ring_3_prob,ring_4_count,ring_4_prob,ring_5_count,ring_5_prob,ring_6_count,ring_6_prob,ring_7_count,ring_7_prob,ring_8_count,ring_8_prob,ring_9_count,ring_9_prob,ring_10_count,ring_10_prob,ring_11_count,ring_11_prob,total_rings,error
C12=C[C@H](C(=O)C=C1N[C@H]1C=C[C@H](O)C(=C[C@@H]21)C)C1=C(CCC1)O,5.224634099,2.4566,0.650698848,23,311.1521435,3,4,0,TRUE,0,0,0,0,2,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0,4,
C1=C(CCc2c1n1c3-c(c(=O)c([C@H]4C=NC(=O)[C@@H](C4)C)cc3)ccc1[nH]2)O,4.836710237,3.2983,0.697104,27,361.1426415,2,4,0,TRUE,0,0,0,0,1,0.2,4,0.8,0,0,0,0,0,0,0,0,0,0,5,
C1=NCC2=COc3cc(cc(c3[C@H](C2=C1)C)N)CC(=C=O)c1cc(O)ccc1,4.356570808,3.8227,0.633506137,28,372.1473925,2,5,0,TRUE,0,0,0,0,0,0,3,0.75,1,0.25,0,0,0,0,0,0,0,0,4,
Nc1c(=NCc2ccccc2)ccc(F)cc1,2.227272233,2.5088,0.842272138,17,228.1062766,1,2,0,TRUE,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,2,
c1c2CCC3=C4[C@H](C=C5C(=C4)C[C@H](C5=O)OCC)[C@@H](C(=O)O)[C@H]4CC[C@H]([C@H]34)CNc1nc1nc3C=CCC=Cc3nc21,6.912668714,5.3269,0.516315287,42,562.2580056,2,7,2,FALSE,0,0,0,0,2,0.25,4,0.5,1,0.125,0,0,0,0,1,0.125,0,0,8,
C1=C([C@H](C(=O)N)[C@H]2Cc3c(cnc4NCNc34)C2)C=C[C@H](c2ccccc12)F,4.810516251,3.3568,0.76743963,28,376.1699395,3,4,0,TRUE,0,0,0,0,2,0.4,2,0.4,1,0.2,0,0,0,0,0,0,0,0,5,
C12=NCc3c1c(N=CN2C(=N)[C@@H]1N[C@H](CC1)OC)c1CNC(=O)c1c3,4.990315281,0.86737,0.549822538,25,338.1491238,3,6,0,TRUE,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,0,0,0,0,5,
N1=C(N=C(CC1=N)N=C1NC[C@H](C1)C(=O)O)[C@@H]([C@]1(C(=O)O)CC[C@@H](CC)N1)CN,5.578687428,-0.18273,0.353419642,29,405.2124523,6,7,1,TRUE,0,0,0,0,2,0.666666667,1,0.333333333,0,0,0,0,0,0,0,0,0,0,3,
c12c(cccc2)c2c(cc(F)c(c2)F)[nH]1,1.864863351,3.5993,0.574180967,15,203.0546557,1,0,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
C1[C@H]2C(=C3OCC(=C3C=C2Nc2cc(nc3N4CCC[C@@H]4C=Cc23)N1)C[C@H](O)CC)N,5.912636198,3.0864,0.597942067,31,419.2321252,4,7,0,TRUE,0,0,0,0,2,0.333333333,3,0.5,0,0,1,0.166666667,0,0,0,0,0,0,6,
CC[C@@H](CCCCCC)O,2.317003207,2.7277,0.56820592,10,144.1514153,1,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
N=C(N)N(C(=O)CCC)c1ccc(cc1)C(=O)N,2.399939464,0.81207,0.540827521,18,248.1273258,3,3,0,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
C1=CC2=C(C(=N)C(=N)[C@@H]3CC=C4C(=O)[C@@H]([C@@H]5CNCC5)OC4=C23)C2=NC=c3c(=C[C@@H]12)ncnc3,5.69971998,0.76324,0.582909856,34,450.1804239,3,8,0,TRUE,0,0,0,0,2,0.285714286,4,0.571428571,1,0.142857143,0,0,0,0,0,0,0,0,7,
C12=CC3=C(C(=N)NC3)C(=O)[C@H]1C=CCC(=C2)c1ccc(cc1)C,4.147202984,3.34069,0.78175862,23,302.1419132,2,2,0,TRUE,0,0,0,0,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,4,
N1C[C@H](c2cccnc12)C[C@H](c1ccccc1)N,3.168497976,2.6808,0.865451067,18,239.1422475,2,3,0,TRUE,0,0,0,0,1,0.333333333,2,0.666666667,0,0,0,0,0,0,0,0,0,0,3,
